Date/Time,Status
Nov 13 2020 - 5:01 PM EST,Playstation Direct - Console Digital Edition Out of Stock
Nov 13 2020 - 4:56 PM EST,Playstation Direct - Console Digital Edition In Stock for $399.99
Nov 13 2020 - 4:30 PM EST,Playstation Direct - Console Out of Stock
Nov 13 2020 - 4:24 PM EST,Playstation Direct - Console In Stock for $499.99
Nov 12 2020 - 9:10 PM EST,Walmart - Console Out of Stock
Nov 12 2020 - 9:02 PM EST,Walmart - Console Digital Edition Out of Stock
Nov 12 2020 - 9:00 PM EST,Walmart - Console Digital Edition In Stock for $399.00
Nov 12 2020 - 9:00 PM EST,Walmart - Console In Stock for $499.00
Nov 12 2020 - 6:21 PM EST,Amazon - Console Digital Edition Out of Stock
Nov 12 2020 - 6:18 PM EST,Amazon - Console Digital Edition In Stock for $399.99
Nov 12 2020 - 6:14 PM EST,Amazon - Console Digital Edition Out of Stock
Nov 12 2020 - 6:14 PM EST,Amazon - Console Digital Edition In Stock for $399.99
Nov 12 2020 - 6:12 PM EST,Amazon - Console Out of Stock
Nov 12 2020 - 6:11 PM EST,Walmart - Console Out of Stock
Nov 12 2020 - 6:06 PM EST,Amazon - Console In Stock for $499.99
Nov 12 2020 - 6:03 PM EST,Walmart - Console In Stock for $499.00
Nov 12 2020 - 6:03 PM EST,Walmart - Console Out of Stock
Nov 12 2020 - 6:02 PM EST,Walmart - Console In Stock for $499.00
Nov 12 2020 - 3:15 PM EST,Playstation Direct - Console Out of Stock
Nov 12 2020 - 3:14 PM EST,Walmart - Console Out of Stock
Nov 12 2020 - 3:11 PM EST,Playstation Direct - Console Digital Edition Out of Stock
Nov 12 2020 - 3:06 PM EST,Walmart - Console In Stock for $499.00
Nov 12 2020 - 3:05 PM EST,Playstation Direct - Console In Stock for $499.99
Nov 12 2020 - 3:05 PM EST,Playstation Direct - Console Digital Edition In Stock for $399.99
Nov 12 2020 - 12:04 PM EST,Walmart - Console Digital Edition Out of Stock
Nov 12 2020 - 12:00 PM EST,Walmart - Console Digital Edition In Stock for $399.00
Nov 12 2020 - 10:35 AM EST,Playstation Direct - Console Digital Edition Out of Stock
Nov 12 2020 - 10:33 AM EST,Playstation Direct - Console Out of Stock
Nov 12 2020 - 4:09 AM EST,Target - Console Out of Stock
Nov 12 2020 - 4:03 AM EST,Target - Console In Stock for $?
Nov 12 2020 - 3:21 AM EST,Target - Console Out of Stock
Nov 12 2020 - 3:15 AM EST,Target - Console In Stock for $?
Nov 12 2020 - 1:54 AM EST,GameStop - Bundle: Ultimate Launch Day System Out of Stock
Nov 12 2020 - 1:54 AM EST,GameStop - Bundle: Ultimate Digital Launch Day System Out of Stock
Nov 12 2020 - 1:50 AM EST,Target - Console Out of Stock
Nov 12 2020 - 1:44 AM EST,Target - Console In Stock for $?
Nov 12 2020 - 12:24 AM EST,Sam's Club - Console Out of Stock
Nov 12 2020 - 12:03 AM EST,Sam's Club - Console In Stock for $499.00
Nov 11 2020 - 10:21 PM EST,Sam's Club - Console Out of Stock
Nov 11 2020 - 10:15 PM EST,Sam's Club - Console In Stock for $499.00
Nov 11 2020 - 10:03 PM EST,Sam's Club - Console In Stock for $499.00
Oct 21 2020 - 3:28 PM EST,B&H Photo - Bundle: Console w/Extra Controller & 4 Games Out of Stock
Oct 21 2020 - 12:18 AM EST,B&H Photo - Console Preorder for $499.99
Oct 07 2020 - 8:19 AM EST,Target - Console Out of Stock
Oct 07 2020 - 8:17 AM EST,Target - Console Preorder for $?
Oct 06 2020 - 3:59 PM EST,Target - Console Preorder for $?
Oct 06 2020 - 10:23 AM EST,Target - Console Preorder for $?
Oct 06 2020 - 10:17 AM EST,Target - Console Out of Stock
Oct 06 2020 - 4:28 AM EST,Target - Console Preorder for $?
Oct 05 2020 - 6:51 PM EST,Target - Console Out of Stock
Oct 05 2020 - 6:45 PM EST,Target - Console Preorder for $?
Oct 05 2020 - 11:15 AM EST,Target - Console Out of Stock
Oct 05 2020 - 3:39 AM EST,Target - Console Preorder for $?
Oct 04 2020 - 8:57 PM EST,Target - Console Out of Stock
Oct 04 2020 - 8:53 PM EST,Target - Console Digital Edition Out of Stock
Oct 04 2020 - 8:51 PM EST,Target - Console Preorder for $?
Oct 04 2020 - 8:46 PM EST,Target - Console Digital Edition Preorder for $?
Oct 04 2020 - 4:33 PM EST,Target - Console Out of Stock
Oct 04 2020 - 4:27 PM EST,Target - Console Preorder for $?
Oct 04 2020 - 12:03 PM EST,Target - Console Out of Stock
Oct 04 2020 - 11:57 AM EST,Target - Console Preorder for $?
Oct 03 2020 - 4:15 PM EST,Target - Console Out of Stock
Oct 03 2020 - 4:09 PM EST,Target - Console Preorder for $?
Oct 02 2020 - 9:49 PM EST,Target - Console Out of Stock
Oct 02 2020 - 9:46 PM EST,Target - Console Preorder for $?
